Sum of receipts,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
CHARITABLE GAMES TAX AMNESTY,,,,,,,,,,,,,,138.63,,,,,,,,,,,,,138.63
CHGO HOTEL OPER TAX AMNESTY,,,,,,,33594.32,,,,,,,,60257.14,,,,,,,,,,,,93851.46
CHICAGO HOTEL OPERATORS-TAX,21585825.68,24054065.81,25019505.91,27500794.22,25396768.27,23077856.2,25958212.35,26556512.84,30490697.33,35544879.88,37359348.52,33836632.27,28808960.28,33103299.33,38480573.44,41429403.25,41021220.62,46340978.68,50691574.06,51495006.8,53007463.24,55809786.3,48481216.1,6853095,34243846.53,55859662.02,922007184.9
COIN OPERATORS AMUSEMENT TAX,1374658.27,1249848.45,1316432.61,1316394.01,1339893.6,1164144.45,2519633.98,2650333.7,2292016,2348930.64,2328593.11,2522756.02,2089732.17,1996030,1770397.1,1482164.57,1165750.22,1281112,1181641.24,880850.78,1190439.33,1216479.16,819617.55,1061621.58,1245398.77,1123277,40928146.31
DRY CLEANER TAX AMNESTY,,,,,,,10,,,,,,,,,,,,,,,,,,,,10
DRYCLEANER TAX,450490.03,762427.41,777925.1,751834.66,659433.67,576210.11,640801.11,1074820.14,1063868.29,979682.91,850971.73,719434.78,602377.59,549954.25,551597.19,459270.55,405111.22,377926.09,360924.9,311232.96,279183.02,250296.34,218381.87,96247.57,149947.09,103992.28,14024342.86
ENTERTAINMNT FAC SURCHARGE,,,,,,,,,,,,,,,,,399976.69,491309.13,521740.09,456955.62,441402.47,419796.14,418204.22,266061.66,414689.49,380011.2,4210146.71
HOTEL OPER USE TAX AMNESTY,,,,,,,192318.62,,,,,,,,312319.28,,,,,,,,,,,,504637.9
HOTEL OPER-1% ADD'L-AMNESTY,,,,,,,37276.29,,,,,,,,60473.74,,,,,,,,,,,,97750.03
HOTEL OPERATOR TAX/ADDITION,23302421.92,25962941.13,26439837.12,28260319.73,25794748.99,24318916.12,26022095.04,26886168.2,30271920.31,33906053.56,36599482.16,33958262.09,28912517.72,32233193.26,34663104.96,36912338.72,37543895.5,42822350.33,42547195.79,45564505.55,46876007.77,49473898.87,41734292.41,15537293.98,37777652.14,51393922.49,885715335.9
HOTEL OPERATORS OCCU TAX,103233038.4,116503771.7,118882540.2,127963150.9,107952779.6,97137335.33,101807197.8,106108849.8,121497062.5,137624206.2,149559092.4,134884623.6,109716329.5,121694381.4,134800396.3,146019628.2,141959417.7,163749278,168326789.9,171934847.8,175649649.6,185764427.8,144951985.9,32429342.84,119408013.4,184821041.4,3424379178
HOTEL OPERATORS TAX,10905683.37,12147956.92,12690113.46,13838518.82,12137083.05,11656155.05,13111889.4,13409992.89,15402542.34,17952895.97,18870958.84,17094548.53,15265123.18,16226151.08,19978114.11,21838916.79,20712685.42,23398770.06,23697826.52,26010227.84,25609345.85,28288543.86,23409347.49,3426158.72,17302402.62,28243494.7,462625446.9
HOTEL OPERATORS' TAX AMNESTY,,,,,,,16984.84,,,,,,,,30442.41,,,,,,,,,,,,47427.25
INTRA-STATE REV TAX/CARRIERS,369639.06,310473.9,296564.48,422647.31,462354.4,371959.14,363868.22,268996.19,313836.25,503463.41,513155.17,405609.65,397786.59,348880.31,447644.53,433179.75,545358.86,562449.86,589468.73,410270.39,523501.01,353846.28,399153.99,524306.55,608868.33,859295.53,11606577.89
METRO PIER & EXPO AUTH AMNESTY,,,,,,,39005.67,,,,,,,,70247.69,,,,,,,,,,,,109253.36
METROPO PIER & EXPO AUTH,25139882.64,28060217.74,29166861.8,32057050.38,28019367.95,26909588.42,30259179.2,31002886.46,35530722.25,41453452.53,43554024.6,39446698.84,33571290.56,37442819.09,43816561.4,47193290.51,47824411.49,54026428.27,54684946.63,60033698.94,61999433.92,63167911.24,55586608.06,8127511,40831130.9,66738984.43,1065644959
OIL AND GAS ASSESSMENT,,129963.9,239510.42,293859.81,259397.64,296658.88,349885.61,447717.08,564820.97,354551.61,,,,,,,,,,,,,,,,,2936365.92
PARKING EXCISE TAX,,,,,,,,,,,,,,,,,,,,,,,9391554.85,20793344.74,35127614.72,40905158.26,106217672.6
PRIV SLS/USED CAR USE AMNESTY,,,,,,,187334.58,,,,,,,,,,,,,,,,,,,,187334.58
PRIVATE SALE/USE CAR USE TAX,41882561.57,43017008.26,43243665.06,38984521.65,43433452.28,39210446.93,40098772.18,37138557.69,38766940.08,37544379.9,36989394.32,32309419.47,35173195.39,35263437.8,33689566.32,32445855.77,33865173.7,36877120.55,54894306.28,54437321.36,52725555.71,52903112.99,45263368.82,60964643.65,81720905.58,95112417.98,1177955101
PULL TABS & JAR GAMES AMNESTY,,,,,,,1955.49,,,,,,,24487.5,,,,,,,,,,,,,26442.99
PULL TABS AND JAR GAMES TAX,7147947.92,7068400.7,7552977.34,7289367.93,6988115.63,7041156.53,6790001.28,6584164.14,6252539.34,5971527.93,5457441.85,4859288.07,4595240.62,4426037.4,4142500.66,4522425.9,3760119.14,3059906.3,2913872.49,2634042.79,2463814.24,2444269.16,2274938.93,1562031.83,2363900.81,2304593.71,122470622.6
REAL ESTATE TRANSFER TAX,46901215.61,54507251.9,57654156.33,57787060.75,65197751.93,71355672.59,86157177.42,106972544.5,116594763,99635490.55,76839863.74,40640862.89,40322822.21,37992819.08,41980681.99,54000360.81,56549700.74,66082178.41,76974874.05,76553175.11,80308019.73,81313775.06,76933060.29,88375366.15,121869558.1,93476469.95,1872976673
SAFETY VEHICLE INSPECTION,418948.83,403538.5,421249.5,412363.81,406853,408063,415888,416836,430539,425214,410408,401554,459887,405996,418152,328693,401255,492950,368938,403079,398021,396614,299172,322903,317354,282181.2,10266650.84
SPORTS WAGERING TAX,,,,,,,,,,,,,,,,,,,,,,,12224.32,51050231.49,96960960,143532169.3,291555585.1
SUBSIDY ACCOUNT,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,130000000
VIDEO TERMINAL TAX,,,,,,,,,,,,,,,,,,,,,,,,,893789914.4,953930786,1847720700
36,745328979.8,806426721,809094051.3,820104526.3,864629219.6,892459629.9,1011440817,970666793.9,1029782064,1257137208,1068239099,1023804310,1040670576,1486108608,1848769227,2161411947,2154321416,2316968737,2404510752,2420538683,2656302983,2784770447,2359196700,2500637618,2496143255,2756662526,42686126896
96 HAYES #23 COLT PACE,19300,378200,401350,424200,429100,,,,,,,,,,,,,,,,,,,,,,1652150
96 HAYES #23 FILLY TROT,10900,,,,,,,,,,,,,,,,,,,,,,,,,,10900
96 WORLD TROT DERBY #16 COLT,69750,,,,,,,,,,,,,,,,,,,,,,,,,,69750
96 WORLD TROT/DERBY 16 FILLY,47250,,,,,,,,,,,,,,,,,,,,,,,,,,47250
ADOLPH MEYER ZONE CENTER,3507.25,1369,8783.9,20515,1505.4,760,760,740,670,80,37.91,,,,,,,,,,,,,,,,38728.46
"ADULT FIELD SERVICES, DOC",12421.38,5015.83,15822.97,11030.77,15935.71,2953.04,12588.15,2980.33,4393.35,,,,,,,,,,,,,,,,,,83141.53
AGRICULTURAL PROCEEDS,,,,,,,,12563.58,60946.71,69677.07,72944.87,69575.22,51805.48,66388.23,54572.3,36237.69,51929.73,52006.62,12019,125472.76,750,,150,,,,737039.26
AGRICULTURE INDUSTRY REG,1099964.41,1017044.61,941158.6,968236.92,942823.34,965346.23,1044800.01,1209584.29,1235287.07,1227325.35,1282123.25,1230618.92,1156360.7,1403343,1304628,821337.59,559133.36,629465.64,657850.54,672349.94,702748.19,689832.69,698762.8,689237.37,759945.85,740272.08,24649580.75
ALTON MENTAL HEALTH CENTER,5093.64,2844.81,441.7,410.85,1132.71,1335.15,3351.82,1719.33,2373.32,1084,2904.22,1430.67,394.68,666.09,253.58,377.12,956.22,1133.1,3359.58,604.71,891.51,9349.24,1605.31,2019.96,2764.82,935.31,49433.45
ALTON STATE HOSPITAL,562563.84,487649.06,401906.58,529177.3,324498.42,916103.03,224555.24,157499.53,109978.92,460528.68,449760.11,647072.19,659457.54,406456.09,457256.89,479761.12,268051.73,149399.07,398765.02,187417.29,74523.64,140251.21,191398.41,96554.86,27982.83,58402.38,8866970.98
AMALGAMATED BANK,,,,,,7991006.57,16573478.34,9947799.71,13276803.49,14242128.1,14641492.7,12496462.85,16167533.73,14739425.55,15812932.17,19348425.27,39535628.84,139899434.3,,25037080.51,,,,,,,359709632.2
AMBULANCE REVOLVING LOANS,,,,,,,,,,,,,,160986.66,160986.66,160986.66,94320,94320,74320,74320,296180,270808,305436,477388.23,430291.02,343936.82,2944280.05
ANDREW MCFARLAND MH/DD CTR,8498.11,7509.65,5399.82,6622.18,7099.3,5969.33,4544.36,7283.18,3713.2,3958.75,4629.34,4690.81,2960.57,4317.88,2916.66,4192.38,2342.34,5785.9,13506.07,1811.18,1170.72,2457.05,15,360.44,1183.96,870,113808.18
ANDREW MCFARLAND ZONE CENTER,2122727.15,1836512.88,3051762.48,1939460.65,1795727.67,3209777.19,2670886.56,2492424.32,3196457.04,3574089.32,3546839.48,3137102.79,3667854.29,3667334.54,4428325.28,2907923.42,2401961.17,1685042.21,1498589.99,923759.39,882913.17,983966.44,496052.54,257510.17,435918.37,373337.87,57184256.38
ANNA MH/DD CENTER,3453.59,2517.4,2109.78,2808.4,2969,2440.41,1974.92,3507.68,4080.73,25010.32,10348.63,8574.62,1973.91,1154.42,7303,11786.37,7123.16,13764.96,34852.74,7293.04,2318.67,3145.88,2413.01,2358.8,2942.63,2259.92,170485.99
ANNA STATE HOSPITAL,1193511.57,1162015.29,1193329.02,1276690.78,1479369.63,3349695.65,1539193.11,1953087.42,2352746.16,2676915.71,3186856.41,3120757.79,2486779.28,2403547.61,2923127.42,3103464.91,2881290.47,2056770.33,1976947.62,1366675.29,1181792.35,1716181.87,1502487,1181699.68,767617.82,1043735.6,51076285.79
ANNUAL CCR SURF IMPND FEE,,,,,,,,,,,,,,,,,,,,,,,65000,1145000,1310000,885000,3405000
APA GATE ADMISSIONS,,,,761629.75,,,,,,,,,,,,,,,,,,,,,,,761629.75
APPELLATE COURT CLERK-DIST 1,87683.85,93036.85,86796.75,81481.5,76761.25,84820,80578,79875.9,78508.84,71926.06,69383.25,78666.35,86369.66,87882.99,82372,,,,,,,,,,,,1226143.25
APPELLATE COURT CLERK-DIST 2,32027.01,33016.72,31383.13,30523.67,26955.86,27879.7,26482.33,24551.29,23882.82,25345.81,22630.26,25568.94,24765.72,25365.89,23850.83,,,,,,,,,,,,404229.98
APPELLATE COURT CLERK-DIST 3,23227.8,21458.22,20968.62,18598.79,16851.41,18745.43,18197.16,16068.12,16328.62,15358,16262.1,16186.28,17125.45,14957.11,16741.69,,,,,,,,,,,,267074.8
APPELLATE COURT CLERK-DIST 4,19462.75,18854,17392.5,15419.25,15546.75,15549.75,14144,12001,12412.25,11755,10224,11160.25,12224.96,14583.99,16918.13,,,,,,,,,,,,217648.58
APPELLATE COURT CLERK-DIST 5,27316.39,22807.79,27272.29,31652.29,20655.78,16801.61,20343.93,17230.97,16197.67,17428.14,16009.74,15538.79,14897.09,16219.56,11836.26,,,,,,,,,,,,292208.3
ARMORY RENTAL/INDIVIDUALS,113755.14,130758.56,120031.43,397582.81,161900.66,87224.93,259079.54,,,,,,,,,,,,,,,,,,,,1270333.07
ARMORY RENTALS,94941.18,106654.27,96571.3,249670.9,70419.6,63555.41,11337.14,126600.26,,,,,,,,,,,,,,,,,,,819750.06
BIG MUDDY RIVER CORRECT CTR,267.49,548.72,357.86,13069.88,8114.57,2082.04,7246.34,208.44,1914.74,307.63,324.55,,,,533.73,1264.86,1517.88,10269.3,2376.39,3563.2,622.64,2362.48,505.1,118.28,115.48,12027.19,69718.79
BLCKRCK ENV AWR/MISCHLER PRIME,,,,,,,,,,,,,,,,,,,,,,,,,,431899.19,431899.19
BOOKS/MAGAZINE & PERIODICALS,285098.24,291352.97,301205.69,405556.05,366671.6,352174.38,323462.83,356716.92,353015.49,331756.26,315114.6,280363.69,284332.58,246585.89,157982.58,20968.25,17221.15,10749.13,6877.69,10734.97,314.65,825.51,1854.19,774.94,125.25,952.5,4722788
BURIAL   TRUST,81275,69350,58680,59700,62045,72540,61840,62865,61270,66223.07,50590,46415,38785,35675,36975,24320,23825,28980,25310,35290,31610,33985,30155,12245,12120,18225,1140293.07
CEMETERY CARE,29635,23930,23470,24365,28325,29305,32250,28025,30050,29715,30350,29545,27135,28235,27015,23550,29172,26190,27210,28410,30570,26870,26585,26225,23676.27,34115,723923.27
CENTRALIA CORRECTIONAL CTR,4514.73,5303.93,4651.13,4822.81,6459.25,8824.24,3592.95,11298.77,1926.26,7543.25,574.97,5719.53,458.16,920.64,748.05,2350.92,797.87,2231.71,857.62,691.03,983.56,986.38,611.52,460.23,574.38,1559.85,79463.74
CHESTER MENTAL HEALTH CENTER,917282.01,1012755.72,778913.75,598594.14,742002.49,556745.32,635871.81,579172.04,569551.26,448860.74,445232.14,409134.76,229247.29,432378.63,325780.27,373498.9,298028.64,269979.84,150314.94,193052.68,157269.64,214864.46,167466.18,129882.33,126675.35,128769.64,10891324.97
CHICAGO-READ MH/DD CENTER,942328.15,658345.27,867048.19,706372.46,603699.03,971273.45,293844.32,391459.44,285055.21,385731.29,458610.1,463841.13,512756.93,295267.79,414031.28,115620.97,312275.09,395171.44,253430.29,229726.75,197251.82,116204.52,145991.36,277099.09,153062.78,206152.88,10651651.03
CHILD SUPPORT OVERPAYMENTS,,,,,,,,,400,500,400,600,200,,,,,,,,,,175.31,,,,2275.31
CHILD WELFARE,22541660.97,21830840.23,18710786.47,17434449.46,16993128.78,15801692.58,14757835.36,15098340,15723012.96,16171751.56,15034664.36,15282485.31,16756517.37,19197000.97,17633933.63,18507009.03,17691341.49,17644569.9,18961757.74,16033795.44,19709327.09,9400290.49,11813139.25,39591708.36,19839668.94,19377229.31,467537937.1
CHILDREN'S HEALTH INSURANCE,,84726,611966.05,989521.15,1277948.67,1614209.13,2165829.28,3136042.42,3648910.97,10406269.23,15445670.4,17795964.01,17965553.69,20133008.34,18645925.61,13996101.46,15003843.43,21308131.46,26921838.03,29865490.2,26435013.94,31451725.1,28365421.5,708518.76,412101.15,38779.26,308428509.2
COMPLAINT BOOKS,8157.5,78416,60142.45,51717.5,74491,15371,48786.38,10905,77555,69050,10420,25650,1980,,,,,,,,,,,,,,532641.83
COMPUTER SERVICE CHARGE,157925,141225,67847.27,50025,16400,400,,,,,,,,,,,,,,,,,,,,,433822.27
CONCESSION REVENUE,1092913.04,1061721.36,923312.81,950145.28,1085354.37,1060243.23,1064294.51,1071459.9,1031555.5,991771.87,913983.19,1086484.01,822605.12,827583.92,718117.94,677366.15,662242.25,500097.07,490746.53,427817.96,340339.93,298315.1,224305.94,179622.6,509552.95,537064.28,19549016.81
CONCESSION REVENUE-FOOD,,,,,,,,,,,,,,,,,,,,,,,,,17210.04,64055.55,81265.59
CONCESSION REVENUE-NON-FOOD,,,,,,,,,,,,,,,,,,,,,,210.86,246.05,9786.01,182302,229111.24,421656.16
CONCESSION REVENUE-VENDING,11411.28,12424.5,8977.05,8427.92,7495.56,4211.34,7901.61,5296.92,4140.82,5280.56,3543.18,5890.47,6094.56,8727.07,10723.63,4530.19,4711.29,1991.08,,,,,,,,,121779.03
COPY PETITIONS & MATERIALS,65608.95,150068.67,256861.85,188481.07,266012.66,221111.15,367442.88,389410.68,374252.04,331973.75,374351.65,301226.71,1582213.64,920936.38,1022908.48,1403209.29,475935.97,451780.56,404548.06,294572.49,255603.57,361341.26,322212.23,129968.11,326533.6,371509.75,11610075.45
DAMAGE CLAIM RECOVERY,642079.93,2785835.72,48149.38,175591.65,52904.72,2134995.98,1661221.05,165000,33416,2153221.66,631018.62,153016.29,19166.65,427686.66,34735.96,772317.21,525000,4751.62,671880,330000,16563.9,1524940.89,182760.49,58701.03,48919.78,,15253875.19
DANVILLE CORRECTIONAL CENTER,2520.19,1584.2,1511.73,1126.41,904,616.32,1080.71,1167.37,1632.31,1937.55,590.37,346.23,289.23,720.35,3807.28,140,5972,1452.51,1798.94,3392.93,1375.48,1066.2,1246.77,1501.74,4521.15,3482.83,45784.8
DECATUR CORRECTIONS,,,305.43,636.09,335.68,1600.51,349.56,2204.54,450.21,729.54,728.91,1389.35,850.96,1071.11,484.88,66,172,1008.87,846.65,2137.49,1289.88,931.74,187.4,2071.57,894.51,1382.67,22125.55
DIXON CORRECTIONAL CENTER,393.33,627.25,288.63,247.36,317.75,10897.14,1046.84,1348.38,6797.57,3600.88,2845.83,476.19,336.56,292.08,420.25,17348.15,10812.3,6785.23,5826.89,5014.44,5776.41,6112.28,5004.94,8990.31,13650.37,10817.43,126074.79
DIXON DEVELOPMENTAL CENTER,232.14,316.08,214.04,1620.95,1931.05,162.4,1769.6,180.72,832.98,420,251,480.35,519.3,55.75,127,336,350.03,3.19,138,32.1,,415.32,20,20,1649.17,,12077.17
DIXON STATE SCHOOL,407296.81,421788.44,419799.27,457785.52,434583.5,520122.72,625024.37,585098.67,582983.63,536336.26,581787.59,545181.86,696102.57,641728.76,724968.91,1056033.17,847002.94,928840.15,954247.53,931217,851519.48,1006825.17,1005888.5,996103.34,1062890.89,1163927.68,18985084.73
DUQUOIN STATE FAIR-MISC.,15,,,1162,,,,,,,,,,,,,,,,,,,,,,,1177
DUQUOIN-ENTRY DEPARTMENT,28645.5,29273,23082,22201.5,19897,99.5,,,,,,,,,,,,,,,,,,,,,123198.5
DUQUOIN-NON-FAIR ACTIVITIES,207160.68,200895.7,174276.81,163937,197759.15,346066.91,273752.83,492295.38,483091.91,439933.91,566277.26,491051.59,463971.58,653178.72,708689.57,579152.72,601298.62,529491.12,621782.52,595620.13,508559.89,415286.37,378643.54,383028.08,574066.78,487105.25,11536374.02
DUQUOIN-PARKING,210514.5,190721,224665,212353,229973,,,,,,,,,,,,,,,,,,,,,,1068226.5
DUQUOIN-SPACE RENTALS/FAIRS,415635.29,428830.24,421851.08,437528.26,421931.09,822452.91,1013368.67,1076045.47,1146332.17,1171434.89,1129529.36,1062455.77,1023833.06,1422869.88,1384373.2,1191569.76,1211398.01,1180095.14,1194235.69,1266901.42,1373346.27,1003139.86,953441.73,84593.29,1134235.3,1114667.43,25086095.24
DUQUOIN-SPEED DEPARTMENT,,1970,,,,,,,,,,,,,,,,,,,,,,,,,1970
DUQUOIN-TICKET SALES,470580.19,278585.68,332817.75,308555,356795.86,,,,,,,,,,,,,,,,,,,,,,1747334.48
DWIGHT CORRECTIONAL CENTER,1725.51,620.95,894.35,1298.48,1021.41,3048.01,1260.21,1673.2,2075.76,1085.46,1555.85,2387,3933.72,625.2,384.68,364.85,1893.46,225,,,,,,,,,26073.1
E. MOLINE CORRECTIONAL CTR,2361.93,1065.18,1939.27,2010.82,5380.14,14045.48,16188.28,3141.43,3356.61,1118.98,716.42,406.29,2018.82,2168.65,1183.32,764.86,55000.56,19108.39,13337.69,9867.39,6364.41,11521.17,755.22,4378.63,8157.07,6469.84,192826.85
E.ST.LOUIS CORRECTIONAL CTR,1349.16,496.79,360.55,1212.29,304.2,98.01,144.06,1920.3,42.77,,,,,,,,,,,,,,,,,,5928.13
ED.NETWORK-EASTERN IL. UNIV,63725,,,,,,,,,,,,,,,,,,,,,,,,,,63725
ED.NETWORK-GOVERNORS ST UNIV,45997,,,,,,,,,,,,,,,,,,,,,,,,,,45997
ED.NETWORK-WESTERN IL UNIV,248500,,,,,,,,,,,,,,,,,,,,,,,,,,248500
ELGIN MENTAL HEALTH CENTER,16730.1,36772.66,1365.2,1586.75,1408.25,1961.74,20998.4,897,23564.65,1832.25,12983.88,869.2,323.4,1415.48,547.67,16730.31,3581.77,824.8,1177.58,53737.1,22445,1744.2,521.29,193.35,7288.91,348.7,231849.64
ELGIN STATE HOSPITAL,903600.59,855686.04,715153.79,599069.44,455117.2,613671.49,529948.91,364918.84,273529.68,691248.67,1430746.27,1869951.85,937564.25,1002411.97,1178095.96,715324.82,789606.76,559484.53,614441.21,583294.24,352549.99,232708.04,209809.14,152120.42,229243.88,83846.61,16943144.59
ELIZABETH LUDEMAN MH/DD CTR,1670677.45,1571595.31,1510256.7,1889130.36,1921806.87,2018471.72,2068597.22,2180334.4,2159664.98,2429136.42,2342955.89,2258501.86,2526277.5,3213068.87,2931119.13,2774438.09,3095730.54,3059514.2,2927267.37,2941557.27,2997499.11,2965042.13,3028010.78,2923463.89,2885793.93,2950395.03,65240307.02
ENTRY FEES/FAIR,174951.5,180314.5,182161.5,116131.17,109818,2365,,,,,,,,,,,,,,,,,,,,,765741.67
ESCHEATED WARRANTS,9643236.54,16470552.17,12072752.87,12713852.83,12839657.31,10044862.17,10102324.12,15666948.3,13573709.36,12377937.97,15320558.52,11822090.03,15764333.86,10986967.36,10075969.75,19518194.27,27680766.39,22060930.85,17036771.49,16625076.71,12440621.01,26521229.21,29920123.53,43258394.4,33280447.74,42612470.21,480430779
FEDERAL DUCK STAMP SALES,10275,9735,11805,11445,12090,9900,12145.5,8640,7005,7530,6255,12122.17,4515,4440.5,4335,3825,2910,2730,3357,3360.5,4112,3675.5,3576.5,1711.5,2095.5,1980.5,165572.17
FIELD/AFTER CARE SERVICES,,,,,,,,,,3782.95,1092.9,2342.66,838.14,326.59,249.43,3575.73,9521.53,3138.78,6224.11,6118.78,23470.61,7158.51,21569.05,10667.8,6110.37,697.94,106885.88
FIRE TRUCK REVOLVING LOANS,,,,,,,,,589332.91,518721.78,493750.18,586671.6,778187.48,1243526.75,1345678.44,1228906.32,1479210.43,1504735.41,1403802.07,1973104.91,1977734.57,1917846.58,2025462.56,2344674.09,2753205.37,2143333.29,26307884.74
FOI (FIREARMS OWNER I.D.),991789,1195240,1162905.8,1045991.5,1144966,1164265,1284115,1286331,1152509,1161278,1298680,3126701,3003065,3101560.5,3470195,3853825,2031175,1731900,2074090,2146300,2177995,3851207.98,3477873.09,5242011.82,2886416.61,1495925.5,56558311.8
FUNERAL & BURIAL RECOVERIES,11060.71,6340.75,9804.35,1900,,,,,,,,637,1459,578,457,,,,13114.4,3983.16,2370,3399,141,204,238,,55686.37
GALESBURG ST. RESEARCH HOSP,2362.8,,,,,,,,,,,,,,,,,,,,,,,,,,2362.8
GATE RECEIPTS/FAIR,918681,893767,955190,277751,1017128,420,,,,,,,,,,,,,,,,,,,,,4062937
GENERAL OFFICE,161599.06,39710.92,56097.9,418851.65,164069.31,320408.07,112465.31,124701,115410.05,48686.29,91307.17,71396.25,26730.44,39931.3,72720.49,170614.42,61578.56,836786.48,1127575.3,146695.05,97680.27,38973.71,151331.06,42989.58,671406.04,1149926.38,6359642.06
GEORGE A. ZELLER MH/DD CTR,7966.6,9185.34,6853.73,10530.81,13787.87,1727.51,55.44,48.2,,,,,319,,,,,,,,,,,,,,50474.5
GEORGE A. ZELLER ZONE CENTER,1586483.05,1332806.64,745596.47,530057.94,1315649.28,1190299.8,41568.73,6676.76,18990.99,11422.57,3474,3967.77,1975,20508.93,195274.6,9730,850,1070,958,997,1570,684,,7275.5,,298,7028185.03
GRAHAM CORRECTIONAL CENTER,2041.06,1408.79,2440.44,1626,1675.62,931.49,548.12,925.43,1958.85,520.12,648.35,624.74,972.77,536.89,1752.22,2230.35,1798.04,3122.35,1885.62,1323.12,1963.63,1905.05,5013.63,3969.44,4142.05,3651.12,49615.29
H.DOUGLAS SINGER MH/DD CTR,550.5,1723.35,3355.85,996.21,569.25,1216.79,2831.07,708.52,3034.9,2160.39,3125.15,551.87,263.5,196.74,4147.27,6958.28,578.65,88.32,20,70.51,,,,,,,33147.12
H.DOUGLAS SINGER ZONE CENTER,1361184.86,1337565.85,1260163.35,3053359.82,1977209.43,2581983.54,1385606.41,347832.37,2758636.6,2881419.88,1429618.24,1743283.66,2325728.02,1260391.51,2025412.36,780113.38,69013.47,66459.47,51947.79,24602.93,26803.99,27870.58,11568.96,8716.62,19069.57,10630.56,28826193.22
HABITAT STAMP,1441254.17,1446561.95,1403963.84,1415017.51,1424724.83,1276106.95,1526612.32,1405761.6,1637198.51,1461905.9,1418653.47,1453923.33,1416679,1403141,1414675.5,1375958.99,1408445.99,1316388.5,1288295.89,1254913.55,1224201,1148855.5,1226073.5,1204513.05,1190269.08,1178045.56,35362140.49
HAYES MEMORIAL-COLT PACE,33500,,,,,,,,,,,,,,,,,,,,,,,,,,33500
HAYES MEMORIAL-COLT TROT,32000,,,,,,,,,,,,,,,,,,,,,,,,,,32000
HAYES MEMORIAL-FILLY PACE,29500,,,,,,,,,,,,,,,,,,,,,,,,,,29500
HAYES MEMORIAL-FILLY TROT,26500,,,,,,,,,,,,,,,,,,,,,,,,,,26500
HAZARD WASTE RESEARCH & INFO,2044.33,759,858.97,878.12,74.8,50.36,9.19,45.56,7.84,,,,,,,,,,,,,,,,,,4728.17
HEALTH FAC-LIFE/HEALTH,63895148.01,68381894.05,77092011.16,93394230.93,111042266.3,109182577.7,122104717.1,161398291.4,176911801.1,172992047.7,182029238.2,183371075.7,182085152.7,198358746.9,227899195,284858509.4,252198594.7,239967457.2,251714834,229224601.6,221779531.3,237423886,218300844.4,258583210.6,266962118.9,271104369,4862256351
HILL CORRECTIONAL CENTER,755.58,765.54,737.52,1501.01,764.35,4683.28,1165.96,881.95,2456.14,3185.61,867.96,1164.56,1265.37,321.2,422.21,15,846.75,5252.14,4409.44,2898.66,2654.96,2946.69,1427.6,1545.68,2599.36,12753.98,58288.5
HOME LOAN REPAYMENTS-RECAPTURE,,,,,,,,,,266101.18,317843.62,155579.6,166551.45,83543.43,154243.94,381615.47,338119.96,172978.64,537896.99,635786.52,698769.26,542260.95,429660.08,458086.41,315198.03,223834.5,5878070.03
IL RIVER CORRECTIONAL CENTER,5298.2,5357.97,4654.09,5531.72,3077.47,4737.94,4997.73,3846.02,6556.04,6891.03,6787.62,739.67,3125.28,3265.12,307.28,85,188.5,16706.92,4341.37,4025.06,6594.81,6507.84,4137.29,23874.47,3724.17,31448.53,166807.14
ILLINOIS  MICHIGAN  CANAL,151562.6,140951.5,135894.5,109932.25,145014.81,135278,213505,134900,153600,164636,175974,242525,175092,437744,253670,190999,367149.1,327480,253500,173236,217232,417522,160494,197879,177767,1007822,6261359.76
ILLINOIS SCHOOL FOR THE DEAF,116374.81,146003,57513.88,3249.71,3576.48,2629.24,2943.27,2956.25,3063.54,3186.85,2797.18,2433.4,11481.57,3033.27,3135.92,3106.03,3345.92,2650.34,5346.12,2840.08,2668.9,3486.62,2962.84,2867.56,120.38,428.27,394201.43
INDEX DIVISION,680541.09,768342.47,669527.53,519216.61,761105.3,623324.42,1496085.99,1311988,1462760.5,1286230,1367262.75,1359320,723693.65,618835.9,633669.65,677073.95,829749.6,792165.15,803606.43,799824.5,830960.5,834544.98,658806.05,879850,889031,1112936.45,23390452.47
INITIAL CCR SURF IMPND FEE,,,,,,,,,,,,,,,,,,,,,,,3000000,325000,600000,,3925000
INS CO REPLACEMENT AUTO TAX,44548.74,47900.56,37717.37,45473.93,53546.59,59097.14,13303.63,62.44,,,,,,,,,,,,,,,,,,,301650.4
INTEREST/DRINKING WATER,,9043.88,233384.72,607984.53,1053020.43,308787.73,1718284.29,1135558.75,1791669.95,2241143.12,3265067.61,2894976.02,3351445.28,3340097.3,3563100.52,3266401.74,1686128.94,494750.47,2590295.68,2250462.03,2430573.03,6620776.13,275302.84,389264.44,338066.16,651062.87,46506648.46
