fy,fund,agency,source,interfund_trans,from_fund,source_name,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,source_name_AWM,rev_type,rev_type_name,amnesty,local,type_assigned
2021,0692,684,0607,NA,NA,DEPARTMENT OF EDUCATION-FED,21984933.21,NA,ICCB ADULT EDUCATION,IL COMMUNITY COLLEGE BOARD,G,FEDERAL TRUST FUNDS,0692,0692,0,NA,1,ICCB ADULT EDUCATION,D,Special State Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2021,0333,466,0604,NA,NA,"DEFENSE,DEPARTMENT OF",21881093.43,NA,FEDERAL SUPPORT AGREEMENT REV,MILITARY AFFAIRS,G,FEDERAL TRUST FUNDS,0333,0333,0,NA,1,FEDERAL SUPPORT AGREEMENT REV,G,Federal Trust Funds,1,1,"DEFENSE,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2022,0872,482,0655,NA,NA,HHS FEDERAL BLOCK GRANT,21843037.66,NA,MATERNAL & CHILD HLTH SERV BLK,PUBLIC HEALTH,NA,NA,0872,0872,0,NA,1,MATERNAL & CHILD HLTH SERV BLK,G,Federal Trust Funds,1,1,HHS FEDERAL BLOCK GRANT,57,Federal - Other,NA,NA,NA
2021,0344,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,21822386,NA,CARE PROV FOR PERSONS WITH DD,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0344,0344,0,NA,1,CARE PROV FOR PERSONS WITH DD,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0793,478,0675,NA,NA,MEDICAL ADMINISTRATION,21317637,NA,HEALTHCARE PROVIDER RELIEF,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0793,0793,0,NA,1,HEALTHCARE PROVIDER RELIEF,D,Special State Funds,1,1,MEDICAL ADMINISTRATION,57,Federal - Other,NA,NA,NA
2020,0285,478,0674,0,9999,HEALTH STANDARDS QUALITY,20792150,rev ioc 03.11.2020,LONG TERM CARE MONITOR/RECEIVE,HEALTHCARE & FAMILY SERVICES,NA,NA,0285,0285,0,NA,1,LONG TERM CARE MONITOR&RECEIVE,D,Special State Funds,1,1,HEALTH STANDARDS QUALITY,57,Federal - Other,NA,NA,NA
2021,0001,444,0663,NA,NA,USDA FOOD NUTRITION SERVICE,20555155,NA,GENERAL REVENUE,HUMAN SERVICES,A,GENERAL FUNDS,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,USDA FOOD NUTRITION SERVICE,57,Federal - Other,NA,NA,NA
2020,0333,466,0604,0,9999,"DEFENSE,DEPARTMENT OF",20545181.32,rev ioc 03.11.2020,FEDERAL SUPPORT AGREEMENT REV,MILITARY AFFAIRS,NA,NA,0333,0333,0,NA,1,FEDERAL SUPPORT AGREEMENT REV,G,Federal Trust Funds,1,1,"DEFENSE,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0433,494,0645,0,9999,TRANS/RAILROAD ADMIN,20541363.25,rev ioc 12.11.2019,FEDERAL HIGH SPEED RAIL TRUST,TRANSPORTATION,NA,NA,0433,0433,0,NA,1,FEDERAL HIGH SPEED RAIL TRUST,D,Special State Funds,1,1,TRANS/RAILROAD ADMIN,59,Federal Transportation,NA,NA,NA
2019,0793,478,0675,0,9999,MEDICAL ADMINISTRATION,20149701,rev ioc 12.11.2019,HEALTHCARE PROVIDER RELIEF,HEALTHCARE & FAMILY SERVICES,NA,NA,0793,0793,0,NA,1,HEALTHCARE PROVIDER RELIEF,D,Special State Funds,1,1,MEDICAL ADMINISTRATION,57,Federal - Other,NA,NA,NA
2020,0344,478,0618,0,9999,HEALTH AND HUMAN SERVICES,20135591,rev ioc 03.11.2020,CARE PROV FOR PERSONS WITH DD,HEALTHCARE & FAMILY SERVICES,NA,NA,0344,0344,0,NA,1,CARE PROV FOR PERSONS WITH DD,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0692,684,0607,0,9999,DEPARTMENT OF EDUCATION-FED,20061043.98,rev ioc 12.11.2019,ICCB ADULT EDUCATION,IL COMMUNITY COLLEGE BOARD,NA,NA,0692,0692,0,NA,1,ICCB ADULT EDUCATION,D,Special State Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2022,0502,444,0607,NA,NA,DEPARTMENT OF EDUCATION-FED,19904044,NA,EARLY INTERVENTION SERVICE REV,HUMAN SERVICES,NA,NA,0502,0502,0,NA,1,EARLY INTERVENTION SERVICE REV,I,State Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2022,0333,466,0604,NA,NA,"DEFENSE,DEPARTMENT OF",19890580.22,NA,FEDERAL SUPPORT AGREEMENT REV,MILITARY AFFAIRS,NA,NA,0333,0333,0,NA,1,FEDERAL SUPPORT AGREEMENT REV,G,Federal Trust Funds,1,1,"DEFENSE,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2021,0983,601,0607,NA,NA,DEPARTMENT OF EDUCATION-FED,19463081.11,NA,BHE FEDERAL GRANTS,BOARD OF HIGHER EDUCATION,G,FEDERAL TRUST FUNDS,0983-B,0983,2,NA,1,BHE FEDERAL GRANTS,G,Federal Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2020,0001,444,1338,0,9999,CCDBG MANDATORY DISC,19329852,rev ioc 03.11.2020,GENERAL REVENUE,HUMAN SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CCDBG MANDATORY DISC,57,Federal - Other,NA,NA,NA
2021,0872,482,0655,NA,NA,HHS FEDERAL BLOCK GRANT,19143651.93,NA,MATERNAL & CHILD HLTH SERV BLK,PUBLIC HEALTH,G,FEDERAL TRUST FUNDS,0872,0872,0,NA,1,MATERNAL & CHILD HLTH SERV BLK,G,Federal Trust Funds,1,1,HHS FEDERAL BLOCK GRANT,57,Federal - Other,NA,NA,NA
2022,0875,420,0656,NA,NA,CDBG FEDERAL BLOCK GRANT,18981162.76,NA,COM DEV/SMALL CITY BLK GRANT,COMMERCE AND ECONOMIC OPPORTUN,NA,NA,0875,0875,0,NA,1,COM DEV&SMALL CITY BLK GRANT,G,Federal Trust Funds,1,1,CDBG FEDERAL BLOCK GRANT,57,Federal - Other,NA,NA,NA
2020,0692,684,0607,0,9999,DEPARTMENT OF EDUCATION-FED,18578806,rev ioc 03.11.2020,ICCB ADULT EDUCATION,IL COMMUNITY COLLEGE BOARD,NA,NA,0692,0692,0,NA,1,ICCB ADULT EDUCATION,D,Special State Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2019,0503,478,2306,0,9999,ENHANCED FED FIN PART-ARRA,18549122,rev ioc 12.11.2019,ELECTRONIC HEALTH RECORD,HEALTHCARE & FAMILY SERVICES,NA,NA,0503-B,0503,2,NA,1,ELECTRONIC HEALTH RECORD,D,Special State Funds,1,1,ENHANCED FED FIN PART-ARRA,58,Federal Medicaid Reimbursements,NA,NA,NA
2022,0285,478,0674,NA,NA,HEALTH STANDARDS QUALITY,18359129,NA,LONG TERM CARE MONITOR/RECEIVE,HEALTHCARE & FAMILY SERVICES,NA,NA,0285,0285,0,NA,1,LONG TERM CARE MONITOR&RECEIVE,D,Special State Funds,1,1,HEALTH STANDARDS QUALITY,57,Federal - Other,NA,NA,NA
2019,0408,444,0663,0,9999,USDA FOOD NUTRITION SERVICE,17717136.79,rev ioc 12.11.2019,DHS SPECIAL PURPOSE TRUST,HUMAN SERVICES,NA,NA,0408,0408,0,NA,1,DHS SPECIAL PURPOSE TRUST,G,Federal Trust Funds,1,1,USDA FOOD NUTRITION SERVICE,57,Federal - Other,NA,NA,NA
2019,0720,478,0618,0,9999,HEALTH AND HUMAN SERVICES,17627553,rev ioc 12.11.2019,MEDICAL INTERAGENCY PROGRAM,HEALTHCARE & FAMILY SERVICES,NA,NA,0720,0720,0,NA,1,MEDICAL INTERAGENCY PROGRAM,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0502,444,0607,0,9999,DEPARTMENT OF EDUCATION-FED,17327861,rev ioc 03.11.2020,EARLY INTERVENTION SERVICE REV,HUMAN SERVICES,NA,NA,0502,0502,0,NA,1,EARLY INTERVENTION SERVICE REV,I,State Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2022,0560,586,1965,NA,NA,DHHS-TRNG SCHOOL HEALTH PERSNL,17327288.19,NA,SBE FEDERAL AGENCY SERVICES,STATE BOARD OF EDUCATION,NA,NA,0560,0560,0,NA,1,SBE FEDERAL AGENCY SERVICES,G,Federal Trust Funds,1,1,DHHS-TRNG SCHOOL HEALTH PERSNL,57,Federal - Other,NA,NA,NA
2019,0502,444,0607,0,9999,DEPARTMENT OF EDUCATION-FED,17203309,rev ioc 12.11.2019,EARLY INTERVENTION SERVICE REV,HUMAN SERVICES,NA,NA,0502,0502,0,NA,1,EARLY INTERVENTION SERVICE REV,I,State Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2019,0041,422,0626,0,9999,"INTERIOR, DEPARTMENT OF",16956457.41,rev ioc 12.11.2019,WILDLIFE & FISH,"NATURAL RESOURCES",NA,NA,0041,0041,0,NA,1,WILDLIFE & FISH,D,Special State Funds,1,1,"INTERIOR, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0509,478,0618,0,9999,HEALTH AND HUMAN SERVICES,16887918,rev ioc 12.11.2019,DHS COMMUNITY SERVICES,HEALTHCARE & FAMILY SERVICES,NA,NA,0509-B,0509,2,NA,1,DHS COMMUNITY SERVICES,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0491,588,1741,0,9999,FEMA,16300448.26,rev ioc 03.11.2020,FEDERAL AID DISASTER,IL EMERGENCY MANAGEMENT AGCY,NA,NA,0491,0491,0,NA,1,FEDERAL AID DISASTER,G,Federal Trust Funds,1,1,FEMA,57,Federal - Other,NA,NA,NA
2020,0872,482,0655,0,9999,HHS FEDERAL BLOCK GRANT,16097528.05,rev ioc 03.11.2020,MATERNAL & CHILD HLTH SERV BLK,PUBLIC HEALTH,NA,NA,0872,0872,0,NA,1,MATERNAL & CHILD HLTH SERV BLK,G,Federal Trust Funds,1,1,HHS FEDERAL BLOCK GRANT,57,Federal - Other,NA,NA,NA
2020,0619,497,0653,0,9999,VETERAN'S ADMINISTRATION,16005766.34,rev ioc 03.11.2020,QUINCY VETERAN HOME,VETERANS' AFFAIRS,NA,NA,0619,0619,0,NA,1,QUINCY VETERAN HOME,D,Special State Funds,1,1,VETERAN'S ADMINISTRATION,57,Federal - Other,NA,NA,NA
2022,0737,420,0610,NA,NA,"ENERGY,DEPARTMENT OF",15525807.8,NA,ENERGY ADMINISTRATION,COMMERCE AND ECONOMIC OPPORTUN,NA,NA,0737,0737,0,NA,1,ENERGY ADMINISTRATION,G,Federal Trust Funds,1,1,"ENERGY,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2022,0983,601,0607,NA,NA,DEPARTMENT OF EDUCATION-FED,15096808.88,NA,BHE FEDERAL GRANTS,BOARD OF HIGHER EDUCATION,NA,NA,0983-B,0983,2,NA,1,BHE FEDERAL GRANTS,G,Federal Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2019,0619,497,0653,0,9999,VETERAN'S ADMINISTRATION,14984879.26,rev ioc 12.11.2019,QUINCY VETERAN HOME,VETERANS' AFFAIRS,NA,NA,0619,0619,0,NA,1,QUINCY VETERAN HOME,D,Special State Funds,1,1,VETERAN'S ADMINISTRATION,57,Federal - Other,NA,NA,NA
2022,0419,420,0647,NA,NA,"TREASURY, DEPARTMENT OF",14817066.46,NA,DCEO PROJECTS,COMMERCE AND ECONOMIC OPPORTUN,NA,NA,0419,0419,0,NA,1,DCEO PROJECTS,I,State Trust Funds,1,1,"TREASURY, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0980,497,0653,0,9999,VETERAN'S ADMINISTRATION,14744672.22,rev ioc 12.11.2019,MANTENO VETERANS HOME,VETERANS' AFFAIRS,NA,NA,0980,0980,0,NA,1,MANTENO VETERANS HOME,D,Special State Funds,1,1,VETERAN'S ADMINISTRATION,57,Federal - Other,NA,NA,NA
2021,0502,444,0607,NA,NA,DEPARTMENT OF EDUCATION-FED,14743153,NA,EARLY INTERVENTION SERVICE REV,HUMAN SERVICES,I,STATE TRUST FUNDS,0502,0502,0,NA,1,EARLY INTERVENTION SERVICE REV,I,State Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2020,0041,422,0626,0,9999,"INTERIOR, DEPARTMENT OF",14571649,rev ioc 03.11.2020,WILDLIFE & FISH,"NATURAL RESOURCES",NA,NA,0041,0041,0,NA,1,WILDLIFE & FISH,D,Special State Funds,1,1,"INTERIOR, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2022,0619,497,0653,NA,NA,VETERAN'S ADMINISTRATION,14371856.59,NA,QUINCY VETERAN HOME,VETERANS' AFFAIRS,NA,NA,0619,0619,0,NA,1,QUINCY VETERAN HOME,D,Special State Funds,1,1,VETERAN'S ADMINISTRATION,57,Federal - Other,NA,NA,NA
2019,0001,444,0663,0,9999,USDA FOOD NUTRITION SERVICE,14344254,rev ioc 12.11.2019,GENERAL REVENUE,HUMAN SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,USDA FOOD NUTRITION SERVICE,57,Federal - Other,NA,NA,NA
2022,0344,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,14230753,NA,CARE PROV FOR PERSONS WITH DD,HEALTHCARE & FAMILY SERVICES,NA,NA,0344,0344,0,NA,1,CARE PROV FOR PERSONS WITH DD,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0872,482,0655,0,9999,HHS FEDERAL BLOCK GRANT,14134717.34,rev ioc 12.11.2019,MATERNAL & CHILD HLTH SERV BLK,PUBLIC HEALTH,NA,NA,0872,0872,0,NA,1,MATERNAL & CHILD HLTH SERV BLK,G,Federal Trust Funds,1,1,HHS FEDERAL BLOCK GRANT,57,Federal - Other,NA,NA,NA
2021,0619,497,0653,NA,NA,VETERAN'S ADMINISTRATION,14037913.94,NA,QUINCY VETERAN HOME,VETERANS' AFFAIRS,D,SPECIAL STATE FUNDS,0619,0619,0,NA,1,QUINCY VETERAN HOME,D,Special State Funds,1,1,VETERAN'S ADMINISTRATION,57,Federal - Other,NA,NA,NA
2021,0001,444,1337,NA,NA,HEALTH/HUMAN SER-CCDBG MATCH,13699439,NA,GENERAL REVENUE,HUMAN SERVICES,A,GENERAL FUNDS,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,HEALTH/HUMAN SER-CCDBG MATCH,57,Federal - Other,NA,NA,NA
2021,0980,497,0653,NA,NA,VETERAN'S ADMINISTRATION,13599853.8,NA,MANTENO VETERANS HOME,VETERANS' AFFAIRS,D,SPECIAL STATE FUNDS,0980,0980,0,NA,1,MANTENO VETERANS HOME,D,Special State Funds,1,1,VETERAN'S ADMINISTRATION,57,Federal - Other,NA,NA,NA
2022,0991,422,0626,NA,NA,"INTERIOR, DEPARTMENT OF",13207480.45,NA,ABANDONED MINED LANDS RECLAM,"NATURAL RESOURCES",NA,NA,0991,0991,0,NA,1,ABANDONED MINED LANDS RECLAM,G,Federal Trust Funds,1,1,"INTERIOR, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2020,0720,478,0618,0,9999,HEALTH AND HUMAN SERVICES,13082952,rev ioc 03.11.2020,MEDICAL INTERAGENCY PROGRAM,HEALTHCARE & FAMILY SERVICES,NA,NA,0720,0720,0,NA,1,MEDICAL INTERAGENCY PROGRAM,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0980,497,0653,0,9999,VETERAN'S ADMINISTRATION,12872582.41,rev ioc 03.11.2020,MANTENO VETERANS HOME,VETERANS' AFFAIRS,NA,NA,0980,0980,0,NA,1,MANTENO VETERANS HOME,D,Special State Funds,1,1,VETERAN'S ADMINISTRATION,57,Federal - Other,NA,NA,NA
2019,0991,422,0626,0,9999,"INTERIOR, DEPARTMENT OF",12609883.41,rev ioc 12.11.2019,ABANDONED MINED LANDS RECLAM,"NATURAL RESOURCES",NA,NA,0991,0991,0,NA,1,ABANDONED MINED LANDS RECLAM,G,Federal Trust Funds,1,1,"INTERIOR, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2020,0433,494,0645,0,9999,TRANS/RAILROAD ADMIN,12412689.74,rev ioc 03.11.2020,FEDERAL HIGH SPEED RAIL TRUST,TRANSPORTATION,NA,NA,0433,0433,0,NA,1,FEDERAL HIGH SPEED RAIL TRUST,D,Special State Funds,1,1,TRANS/RAILROAD ADMIN,59,Federal Transportation,NA,NA,NA
2020,0365,478,0618,0,9999,HEALTH AND HUMAN SERVICES,12203931,rev ioc 03.11.2020,HEALTH&HUMAN SERV MEDICAID TR,HEALTHCARE & FAMILY SERVICES,NA,NA,0365,0365,0,NA,1,HEALTH&HUMAN SERV MEDICAID TR,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0720,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,12159029,NA,MEDICAL INTERAGENCY PROGRAM,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0720,0720,0,NA,1,MEDICAL INTERAGENCY PROGRAM,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0907,416,2104,NA,NA,MEDICARE PART D,12152730.15,NA,HEALTH INSURANCE RESERVE,CENTRAL MANAGEMENT,D,SPECIAL STATE FUNDS,0907,0907,0,NA,1,HEALTH INSURANCE RESERVE,D,Special State Funds,1,1,MEDICARE PART D,57,Federal - Other,NA,NA,NA
2022,0001,478,0679,NA,NA,TITLE IV-D,12000000,NA,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,TITLE IV-D,57,Federal - Other,NA,NA,NA
2019,0737,420,0610,0,9999,"ENERGY,DEPARTMENT OF",11997051.36,rev ioc 12.11.2019,ENERGY ADMINISTRATION,COMMERCE AND ECONOMIC OPPORTUN,NA,NA,0737,0737,0,NA,1,ENERGY ADMINISTRATION,G,Federal Trust Funds,1,1,"ENERGY,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2021,0737,420,0610,NA,NA,"ENERGY,DEPARTMENT OF",11768737.47,NA,ENERGY ADMINISTRATION,COMMERCE AND ECONOMIC OPPORTUN,G,FEDERAL TRUST FUNDS,0737,0737,0,NA,1,ENERGY ADMINISTRATION,G,Federal Trust Funds,1,1,"ENERGY,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0523,478,0618,0,9999,HEALTH AND HUMAN SERVICES,11526941,rev ioc 12.11.2019,DEPT OF CORRECTIONS REIMBURSEM,HEALTHCARE & FAMILY SERVICES,NA,NA,0523,0523,0,NA,1,DEPT OF CORRECTIONS REIMBURSEM,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0737,420,0610,0,9999,"ENERGY,DEPARTMENT OF",11512402.95,rev ioc 03.11.2020,ENERGY ADMINISTRATION,COMMERCE AND ECONOMIC OPPORTUN,NA,NA,0737,0737,0,NA,1,ENERGY ADMINISTRATION,G,Federal Trust Funds,1,1,"ENERGY,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2021,0560,586,1965,NA,NA,DHHS-TRNG SCHOOL HEALTH PERSNL,11148519.89,NA,SBE FEDERAL AGENCY SERVICES,STATE BOARD OF EDUCATION,G,FEDERAL TRUST FUNDS,0560,0560,0,NA,1,SBE FEDERAL AGENCY SERVICES,G,Federal Trust Funds,1,1,DHHS-TRNG SCHOOL HEALTH PERSNL,57,Federal - Other,NA,NA,NA
2020,0592,444,0618,0,9999,HEALTH AND HUMAN SERVICES,11127234,rev ioc 03.11.2020,DHS FEDERAL PROJECTS,HUMAN SERVICES,NA,NA,0592,0592,0,NA,1,DHS FEDERAL PROJECTS,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2020,0001,444,1336,0,9999,CCDBG MANDATORY,11125134,rev ioc 03.11.2020,GENERAL REVENUE,HUMAN SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CCDBG MANDATORY,57,Federal - Other,NA,NA,NA
2019,0285,478,0674,0,9999,HEALTH STANDARDS QUALITY,10500000,rev ioc 12.11.2019,LONG TERM CARE MONITOR/RECEIVE,HEALTHCARE & FAMILY SERVICES,NA,NA,0285,0285,0,NA,1,LONG TERM CARE MONITOR&RECEIVE,D,Special State Funds,1,1,HEALTH STANDARDS QUALITY,57,Federal - Other,NA,NA,NA
2020,0001,478,0679,0,9999,TITLE IV-D,10500000,rev ioc 03.11.2020,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,TITLE IV-D,57,Federal - Other,NA,NA,NA
2021,0592,444,0618,NA,NA,HEALTH AND HUMAN SERVICES,10465024,NA,DHS FEDERAL PROJECTS,HUMAN SERVICES,G,FEDERAL TRUST FUNDS,0592,0592,0,NA,1,DHS FEDERAL PROJECTS,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2019,0617,511,0702,0,9999,VIA OTHER IL STATE AGENCY,10410528.41,rev ioc 12.11.2019,CDB CONTRIBUTORY TRUST,CAPITAL DEVELOPMENT BOARD,NA,NA,0617,0617,0,NA,0,CDB CONTRIBUTORY TRUST,I,State Trust Funds,0,0,VIA OTHER IL STATE AGENCY,57,Federal - Other,NA,NA,NA
2021,0408,444,0618,NA,NA,HEALTH AND HUMAN SERVICES,10402638,NA,DHS SPECIAL PURPOSE TRUST,HUMAN SERVICES,G,FEDERAL TRUST FUNDS,0408,0408,0,NA,1,DHS SPECIAL PURPOSE TRUST,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2021,0339,684,1381,NA,NA,FEDERAL MONEY VIA OTHER STATE,10340674.08,NA,IL COMM COLL BRD CONTRCT & GRT,IL COMMUNITY COLLEGE BOARD,D,SPECIAL STATE FUNDS,0339,0339,0,NA,1,IL COMM COLL BRD CONTRCT & GRT,D,Special State Funds,1,1,FEDERAL MONEY VIA OTHER STATE,57,Federal - Other,NA,NA,NA
2019,0592,444,0618,0,9999,HEALTH AND HUMAN SERVICES,10282349,rev ioc 12.11.2019,DHS FEDERAL PROJECTS,HUMAN SERVICES,NA,NA,0592,0592,0,NA,1,DHS FEDERAL PROJECTS,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2021,0592,444,0624,NA,NA,HOUSING & URBAN DEVELOPMENT,10250125.74,NA,DHS FEDERAL PROJECTS,HUMAN SERVICES,G,FEDERAL TRUST FUNDS,0592,0592,0,NA,1,DHS FEDERAL PROJECTS,G,Federal Trust Funds,1,1,HOUSING & URBAN DEVELOPMENT,57,Federal - Other,NA,NA,NA
2022,0339,684,1381,NA,NA,FEDERAL MONEY VIA OTHER STATE,10220987.55,NA,IL COMM COLL BRD CONTRCT & GRT,IL COMMUNITY COLLEGE BOARD,NA,NA,0339,0339,0,NA,1,IL COMM COLL BRD CONTRCT & GRT,D,Special State Funds,1,1,FEDERAL MONEY VIA OTHER STATE,57,Federal - Other,NA,NA,NA
2021,0365,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,10115968,NA,HEALTH&HUMAN SERV MEDICAID TR,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0365,0365,0,NA,1,HEALTH&HUMAN SERV MEDICAID TR,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0730,466,1790,0,9999,IEMA-FEMA,10099913.72,rev ioc 03.11.2020,IL NAT GUARD ST ACTIVE DUTY,MILITARY AFFAIRS,NA,NA,0730-B,0730,2,NA,1,IL NAT GUARD ST ACTIVE DUTY,I,State Trust Funds,1,1,IEMA-FEMA,57,Federal - Other,NA,NA,NA
2022,0592,444,0618,NA,NA,HEALTH AND HUMAN SERVICES,9915460,NA,DHS FEDERAL PROJECTS,HUMAN SERVICES,NA,NA,0592,0592,0,NA,1,DHS FEDERAL PROJECTS,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2022,0081,444,0618,NA,NA,HEALTH AND HUMAN SERVICES,9678324.81,NA,VOCATIONAL REHABILITATION,HUMAN SERVICES,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2022,0894,422,0626,NA,NA,"INTERIOR, DEPARTMENT OF",9298249.28,NA,DNR FEDERAL PROJECTS,"NATURAL RESOURCES",NA,NA,0894,0894,0,NA,1,DNR FEDERAL PROJECTS,G,Federal Trust Funds,1,1,"INTERIOR, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2022,0980,497,0653,NA,NA,VETERAN'S ADMINISTRATION,9284787.82,NA,MANTENO VETERANS HOME,VETERANS' AFFAIRS,NA,NA,0980,0980,0,NA,1,MANTENO VETERANS HOME,D,Special State Funds,1,1,VETERAN'S ADMINISTRATION,57,Federal - Other,NA,NA,NA
2020,0001,444,0663,0,9999,USDA FOOD NUTRITION SERVICE,9284124,rev ioc 03.11.2020,GENERAL REVENUE,HUMAN SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,USDA FOOD NUTRITION SERVICE,57,Federal - Other,NA,NA,NA
2019,0365,478,0618,0,9999,HEALTH AND HUMAN SERVICES,9076409,rev ioc 12.11.2019,HEALTH&HUMAN SERV MEDICAID TR,HEALTHCARE & FAMILY SERVICES,NA,NA,0365,0365,0,NA,1,HEALTH&HUMAN SERV MEDICAID TR,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0001,478,0679,0,9999,TITLE IV-D,9000000,rev ioc 12.11.2019,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,TITLE IV-D,57,Federal - Other,NA,NA,NA
2021,0081,444,0618,NA,NA,HEALTH AND HUMAN SERVICES,8999414.4,NA,VOCATIONAL REHABILITATION,HUMAN SERVICES,G,FEDERAL TRUST FUNDS,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
